country_x,EXT,EST,AGR,CSN,OPN,ctr,country_y,pdi,idv,mas,uai,ltowvs,ivr
SUR,28.613636363636363,24.727272727272727,34.97727272727273,33.13636363636363,36.54545454545455,SUR,Suriname,85.0,47.0,37.0,92.0,,
SLV,28.370558375634516,31.01522842639594,35.91370558375635,32.90355329949239,39.233502538071065,SLV,El Salvador,66.0,19.0,40.0,94.0,20.0,89.0
SLV,28.370558375634516,31.01522842639594,35.91370558375635,32.90355329949239,39.233502538071065,SLV,Slovenia,71.0,27.0,19.0,88.0,49.0,48.0
THA,29.626585489599186,29.226788432267885,35.95991882293252,33.113647894469814,36.332825976661596,THA,Thailand,64.0,20.0,34.0,64.0,32.0,45.0
TUR,29.356278104462124,32.09754410238672,35.84884123140782,32.89069526115531,39.24974057419578,TUR,Turkey,66.0,37.0,45.0,85.0,46.0,49.0
TTO,27.18421052631579,30.89271255060729,37.587044534412954,34.28137651821862,38.69230769230769,TTO,Trinidad and Tobago,47.0,16.0,58.0,55.0,13.0,80.0
TWN,29.596091205211728,30.46796959826276,36.86644951140065,32.385450597176984,37.46471226927253,TWN,Taiwan,58.0,17.0,45.0,69.0,93.0,49.0
TZA,29.593023255813954,28.825581395348838,40.174418604651166,34.27906976744186,39.86046511627907,TZA,Tanzania,,,,,34.0,38.0
UKR,28.32128514056225,31.98929049531459,34.6760374832664,32.21285140562249,40.069611780455155,UKR,Ukraine,,,,,86.0,14.0
UGA,29.61744966442953,29.013422818791945,38.939597315436245,36.12751677852349,37.69798657718121,UGA,Uganda,,,,,24.0,52.0
USA,29.818117762896616,30.279096198227315,38.1572301030558,34.017163156132014,38.81672867828325,USA,United States of America,40.0,91.0,62.0,46.0,26.0,68.0
URY,28.304843304843306,31.128205128205128,36.267806267806264,31.900284900284902,39.17948717948718,URY,Uruguay,61.0,36.0,38.0,100.0,26.0,53.0
VEN,28.77777777777778,31.273015873015872,35.196825396825396,31.62857142857143,39.40873015873016,VEN,Venezuela,81.0,12.0,73.0,76.0,16.0,100.0
VNM,27.783483097988874,31.393667094565682,35.584937954642704,32.12623020967052,35.95849379546427,VNM,Vietnam,70.0,20.0,40.0,30.0,57.0,35.0
ZMB,27.081632653061224,28.653061224489797,36.775510204081634,34.275510204081634,38.62244897959184,ZMB,Zambia,,,,,30.0,42.0
ZWE,28.155339805825243,27.92233009708738,37.85436893203884,35.980582524271846,40.04854368932039,ZWE,Zimbabwe,,,,,15.0,28.0
