iter	Passed	Remaining
610	1304	830
611	1306	828
612	1308	826
613	1310	824
614	1312	821
615	1314	819
616	1316	817
617	1318	815
618	1320	812
619	1322	810
620	1324	808
621	1326	805
622	1328	803
623	1330	801
624	1332	799
625	1334	797
626	1336	794
627	1337	792
628	1339	790
629	1341	788
630	1343	785
631	1345	783
632	1347	781
633	1349	779
634	1351	776
635	1353	774
636	1355	772
637	1357	770
638	1359	768
639	1361	766
640	1363	763
641	1366	761
642	1368	759
643	1370	757
644	1372	755
645	1375	753
646	1377	751
647	1379	749
648	1382	747
649	1384	745
650	1386	743
651	1388	741
652	1390	739
653	1393	737
654	1395	735
655	1397	732
656	1399	730
657	1402	728
658	1404	726
659	1406	724
660	1409	722
661	1411	720
662	1413	718
663	1415	716
664	1417	714
665	1420	712
666	1422	710
667	1424	708
668	1427	706
669	1429	703
670	1431	701
671	1433	699
672	1435	697
673	1437	695
674	1440	693
675	1442	691
676	1444	689
677	1446	687
678	1448	684
679	1450	682
680	1452	680
681	1454	678
682	1456	676
683	1459	674
684	1461	671
685	1463	669
686	1465	667
687	1467	665
688	1470	663
689	1472	661
690	1474	659
691	1476	657
692	1479	655
693	1481	653
694	1483	651
695	1486	649
696	1488	647
697	1490	644
698	1492	642
699	1495	640
700	1497	638
701	1499	636
702	1502	634
703	1504	632
704	1506	630
705	1508	628
706	1510	626
707	1513	624
708	1515	621
709	1517	619
710	1519	617
711	1522	615
712	1524	613
713	1526	611
714	1529	609
715	1531	607
716	1533	605
717	1535	603
718	1538	601
719	1540	599
720	1542	596
721	1544	594
722	1546	592
723	1549	590
724	1551	588
725	1553	586
726	1555	583
727	1557	581
728	1559	579
729	1561	577
730	1562	575
731	1564	572
732	1566	570
733	1568	568
734	1570	566
735	1573	564
736	1574	562
737	1576	559
738	1578	557
739	1580	555
740	1582	553
741	1584	551
742	1587	548
743	1589	546
744	1591	544
745	1593	542
746	1595	540
747	1597	538
748	1599	535
749	1601	533
750	1603	531
751	1605	529
752	1607	527
753	1609	525
754	1611	522
755	1613	520
756	1615	518
757	1617	516
758	1619	514
759	1621	511
760	1623	509
761	1624	507
762	1626	505
763	1628	503
764	1630	500
765	1633	498
766	1635	496
767	1637	494
768	1639	492
769	1641	490
770	1643	488
771	1645	485
772	1647	483
773	1649	481
774	1651	479
775	1653	477
776	1655	475
777	1656	472
778	1658	470
779	1660	468
780	1662	466
781	1664	464
782	1666	461
783	1668	459
784	1670	457
785	1672	455
786	1674	453
787	1676	451
788	1678	448
789	1680	446
790	1683	444
791	1685	442
792	1687	440
793	1689	438
794	1691	436
795	1693	433
796	1695	431
797	1697	429
798	1699	427
799	1701	425
800	1703	423
801	1705	420
802	1707	418
803	1709	416
804	1711	414
805	1713	412
806	1715	410
807	1717	408
808	1719	406
809	1721	403
810	1724	401
811	1726	399
812	1728	397
813	1730	395
814	1732	393
815	1734	391
816	1736	388
817	1738	386
818	1740	384
819	1742	382
820	1744	380
821	1746	378
822	1748	376
823	1750	373
824	1752	371
825	1754	369
826	1756	367
827	1758	365
828	1760	363
829	1762	360
830	1764	358
831	1766	356
832	1769	354
833	1771	352
834	1773	350
835	1775	348
836	1777	346
837	1779	344
838	1781	341
839	1783	339
840	1785	337
841	1787	335
842	1789	333
843	1791	331
844	1793	329
845	1795	326
846	1797	324
847	1800	322
848	1802	320
849	1804	318
850	1806	316
851	1808	314
852	1810	311
853	1812	309
854	1814	307
855	1816	305
856	1818	303
857	1820	301
858	1822	299
859	1824	296
860	1826	294
861	1828	292
862	1830	290
863	1832	288
864	1833	286
865	1835	284
866	1837	281
867	1839	279
868	1841	277
869	1843	275
870	1845	273
871	1847	271
872	1849	269
873	1851	266
874	1853	264
875	1855	262
876	1857	260
877	1860	258
878	1862	256
879	1864	254
880	1866	252
881	1868	249
882	1870	247
883	1872	245
884	1874	243
885	1876	241
886	1878	239
887	1880	237
888	1882	235
889	1884	232
890	1886	230
891	1888	228
892	1891	226
893	1893	224
894	1895	222
895	1897	220
896	1899	218
897	1900	215
898	1902	213
899	1904	211
900	1906	209
901	1908	207
902	1910	205
903	1912	203
904	1914	200
905	1916	198
906	1918	196
907	1920	194
908	1922	192
909	1924	190
910	1925	188
911	1927	186
912	1929	183
913	1931	181
914	1933	179
915	1935	177
916	1937	175
917	1939	173
918	1941	171
919	1943	169
920	1945	166
921	1947	164
922	1949	162
923	1951	160
924	1953	158
925	1955	156
926	1957	154
927	1959	152
928	1961	149
929	1963	147
930	1965	145
931	1967	143
932	1969	141
933	1971	139
934	1973	137
935	1975	135
936	1977	132
937	1979	130
938	1981	128
939	1983	126
940	1986	124
941	1988	122
942	1990	120
943	1992	118
944	1994	116
945	1996	113
946	1998	111
947	2001	109
948	2003	107
949	2005	105
950	2007	103
951	2009	101
952	2011	99
953	2013	97
954	2015	94
955	2017	92
956	2019	90
957	2021	88
958	2023	86
959	2025	84
960	2027	82
961	2029	80
962	2031	78
963	2033	75
964	2035	73
965	2037	71
966	2038	69
967	2040	67
968	2043	65
969	2045	63
970	2047	61
971	2048	59
972	2051	56
973	2052	54
974	2055	52
975	2057	50
976	2059	48
977	2061	46
978	2063	44
979	2065	42
980	2067	40
981	2069	37
982	2071	35
983	2073	33
984	2075	31
985	2077	29
986	2079	27
987	2080	25
988	2082	23
989	2084	21
990	2086	18
991	2088	16
992	2090	14
993	2092	12
994	2094	10
995	2096	8
996	2098	6
997	2099	4
998	2102	2
999	2103	0
