iter	Logloss
125	0.5129238129
126	0.5124151866
127	0.511581262
128	0.5110635757
129	0.510496966
130	0.5097927411
131	0.5090205828
132	0.5080661774
133	0.5074680964
134	0.5068381627
135	0.5059799194
136	0.5054999034
137	0.5050806681
138	0.5042568207
139	0.5037269592
140	0.5034219106
141	0.5030085882
142	0.5022508939
143	0.5016958237
144	0.5011338552
145	0.5004050573
146	0.4997224172
147	0.4992437681
148	0.4985917727
149	0.4979830106
150	0.4973154068
151	0.4966803551
152	0.4963135401
153	0.4958112399
154	0.4954504649
155	0.4951117198
156	0.4947181066
157	0.4942180951
158	0.4939101537
159	0.4934530258
160	0.4929384232
161	0.4924069087
162	0.4921703974
163	0.4918290774
164	0.4912801425
165	0.4910193125
166	0.490577062
167	0.4904053052
168	0.4899769465
169	0.4893522263
170	0.4889873187
171	0.4885016123
172	0.488133049
173	0.4874052684
174	0.4869142532
175	0.4866663615
176	0.4861166636
177	0.4858623505
178	0.4853682836
179	0.4848700841
180	0.4845804214
181	0.4841195424
182	0.483864975
183	0.4833317757
184	0.4829683304
185	0.4824858665
186	0.4822524707
187	0.4818075498
188	0.4816492716
189	0.4813765844
190	0.4809859276
191	0.4807153702
192	0.4802335421
193	0.47999897
194	0.4796963374
195	0.479345576
196	0.4790714264
197	0.4785189311
198	0.4781687419
199	0.4777749379
200	0.4772049586
201	0.477083079
202	0.4766189575
203	0.4760258675
204	0.4757124583
205	0.4753006617
206	0.474776872
207	0.4742705027
208	0.4740267436
209	0.473503685
210	0.4729431788
211	0.4726434708
212	0.4722572009
213	0.47189188
214	0.4715721766
215	0.4713567416
216	0.4709185918
217	0.4704734166
218	0.4702500661
219	0.4699062347
220	0.4695111911
221	0.4691450119
222	0.4689789772
223	0.4684667905
224	0.4681963603
225	0.4680095673
226	0.4676802317
227	0.4672290802
228	0.466974767
229	0.4668059667
230	0.4665678024
231	0.4663423538
232	0.4657787323
233	0.4656270345
234	0.4653532664
235	0.4650763512
236	0.4647157033
237	0.464362208
238	0.4641342163
239	0.4637803078
240	0.4634609222
241	0.4631615639
242	0.4629687945
243	0.4625589371
244	0.4622530619
245	0.4618987719
246	0.4615520477
247	0.4611158689
248	0.4608258565
249	0.4604317347
250	0.4599358877
251	0.4595303853
252	0.4591895421
253	0.4589898427
254	0.458648173
255	0.4581750234
256	0.4577472369
257	0.4575433413
258	0.4573663076
259	0.4571738243
260	0.4568571726
261	0.4566321055
262	0.456438605
263	0.4560171127
264	0.4557252884
265	0.4555344264
266	0.4553108215
267	0.4550563812
268	0.454806296
269	0.4543214798
270	0.4539476395
271	0.4538636843
272	0.453715833
273	0.453359286
274	0.4531363805
275	0.4529226939
276	0.4525452296
277	0.452406311
278	0.452156353
279	0.4517709732
280	0.4512891134
281	0.4510275523
282	0.4508703868
283	0.450679493
284	0.4504811923
285	0.4502986908
286	0.450053215
287	0.4498884201
288	0.4494746526
289	0.4492353439
290	0.449100558
291	0.4486938159
292	0.4484699249
293	0.4483296712
294	0.4478912354
295	0.4476207097
296	0.4473856608
297	0.4469710032
298	0.446720918
299	0.4464120229
300	0.4460155805
301	0.4458100001
302	0.4455813726
303	0.4451426824
304	0.4449730555
305	0.4446938197
306	0.4445021629
307	0.444225057
308	0.4439950943
309	0.4435493469
310	0.4432806015
311	0.4430054029
312	0.4426848094
313	0.4424388885
314	0.4423043569
315	0.4420671145
316	0.4417866707
317	0.4415493647
318	0.4412170728
319	0.4409202894
320	0.4405698458
321	0.4402704239
322	0.4400107384
323	0.4398655256
324	0.4395698547
325	0.4393154144
326	0.4390407562
327	0.4388035456
328	0.4384973844
329	0.4383093198
330	0.4381712914
331	0.4380120595
332	0.4378055573
333	0.4376219432
334	0.4374120394
335	0.4370782852
336	0.4368977865
337	0.4366970062
338	0.4362640381
339	0.4360611598
340	0.4358458519
341	0.4356531143
342	0.4354422251
343	0.435153389
344	0.4349222501
345	0.434816583
346	0.4346079508
347	0.4342885971
348	0.4340087255
349	0.4334676107
350	0.4330547333
351	0.4325178782
352	0.4322354317
353	0.4320038795
354	0.4317271868
355	0.4314067523
356	0.4312645276
357	0.4309415817
358	0.4305969556
359	0.4304620107
360	0.4302524249
361	0.4300458908
362	0.429806455
363	0.4296774546
364	0.4295880636
365	0.4292392095
366	0.4291636149
367	0.4288715045
368	0.4285948435
369	0.4283191999
370	0.4281193097
371	0.4280112267
372	0.4278458277
373	0.4276484489
374	0.4274990718
375	0.4273515066
376	0.4272433917
377	0.4270687103
378	0.4266476313
379	0.4263828913
380	0.4260792414
381	0.425930659
382	0.4257907232
383	0.4255194982
384	0.4253020604
385	0.4250230153
386	0.4248175621
387	0.4244857788
388	0.4243855794
389	0.423998483
390	0.4238018672
391	0.4237140656
392	0.4233760834
393	0.4233090083
394	0.423000145
395	0.4228199323
396	0.4226874669
397	0.4224507332
398	0.4221631368
399	0.4219855626
400	0.4218178431
401	0.4214261373
402	0.421192042
403	0.421076711
404	0.420857048
405	0.4206383705
406	0.4204216957
407	0.4202257792
408	0.4199129105
409	0.4196575483
410	0.4194978078
411	0.419380188
412	0.4191755613
413	0.418849659
414	0.4186031977
415	0.4181740443
416	0.4178482056
417	0.4177760124
418	0.4176355044
419	0.4175814311
420	0.417339325
421	0.4168214798
422	0.4165538152
423	0.4161342939
424	0.4157907486
425	0.4155733426
426	0.4153855642
427	0.4152504285
428	0.4150682767
429	0.4148765564
430	0.4146255811
431	0.4144136429
432	0.4142597834
433	0.4141379674
434	0.4139884949
435	0.4136238734
436	0.413498052
437	0.4132283847
438	0.4131163915
439	0.4129776637
440	0.4129215876
441	0.4126380603
442	0.4123912811
443	0.4121931712
444	0.4120192846
445	0.4116870244
446	0.4113236745
447	0.4111434937
448	0.4108507156
449	0.4105710983
450	0.4102148692
451	0.4098545074
452	0.4096826871
453	0.4095367114
454	0.4093547185
455	0.4092018127
456	0.4088146845
457	0.4086601893
458	0.4084165255
459	0.4082153002
460	0.4080306371
461	0.4078292211
462	0.4073587418
463	0.4072312673
464	0.407148234
465	0.4068849246
466	0.4066006343
467	0.406498909
468	0.4063793818
469	0.4062224388
470	0.4058031082
471	0.4056078911
472	0.4053695997
473	0.405206426
474	0.4050122897
475	0.4046946843
476	0.4045002937
477	0.4044077873
478	0.4041781425
479	0.4037673632
480	0.4033310254
481	0.4030359904
482	0.402898852
483	0.4026197116
484	0.4024373055
485	0.4022353172
486	0.4020102183
487	0.4017855962
488	0.4014802933
489	0.4011801402
490	0.400965786
491	0.4008022944
492	0.4006077449
493	0.4004967372
494	0.4002508799
495	0.4000404676
496	0.3997999827
497	0.3997130076
498	0.3995602926
499	0.3993471146
500	0.3991353989
501	0.3989118576
502	0.3986081123
503	0.3984187444
504	0.3982904434
505	0.3978298823
506	0.3977612813
507	0.3974214872
508	0.3972384771
509	0.3967499415
510	0.3964831988
511	0.3962085406
512	0.395995903
513	0.3958305359
514	0.3956466675
515	0.3952661514
516	0.3950608571
517	0.3947425207
518	0.3944486618
519	0.3943367004
520	0.394148922
521	0.3938915253
522	0.3937889735
523	0.3935025851
524	0.3932800929
525	0.3932299296
526	0.3931585312
527	0.3928987821
528	0.392777284
529	0.3925998688
530	0.3922923406
531	0.3920930227
532	0.3919555346
533	0.3917118073
534	0.3916396459
535	0.3915239652
536	0.3913969676
537	0.3909098943
538	0.3905398369
539	0.3903306643
540	0.3902315458
541	0.3898230235
542	0.3895157496
543	0.3892805417
544	0.3891075134
545	0.3886245728
546	0.388572216
547	0.3885132472
548	0.3883748372
549	0.3880552928
550	0.3878495852
551	0.387691625
552	0.3876020432
553	0.3873765628
554	0.387187767
555	0.3869921048
556	0.3866049767
557	0.3863586426
558	0.3862579028
559	0.3860794703
560	0.385961024
561	0.3856371244
562	0.3854406675
563	0.3852015177
564	0.3850972493
565	0.3849253972
566	0.3847173691
567	0.3845940272
568	0.384266599
569	0.3839155833
570	0.3836168607
571	0.3835478465
572	0.3832578341
573	0.38287913
574	0.3827302297
575	0.3825737635
576	0.3822825114
577	0.3819114685
578	0.3817812284
579	0.3814243952
580	0.3810651143
581	0.3808236758
582	0.380497392
583	0.3802840869
584	0.3799299876
585	0.3796783129
586	0.3795543035
587	0.3792955716
588	0.379064242
589	0.3788175583
590	0.378549544
591	0.3782037735
592	0.3781098684
593	0.3780620575
594	0.3778615952
595	0.3775129636
596	0.3773497264
597	0.3769880931
598	0.3766266823
599	0.3763928095
600	0.376197656
601	0.3759871801
602	0.3756171227
603	0.3754904111
604	0.3751808167
605	0.3750242233
606	0.3749902089
607	0.3747896194
608	0.3745850245
609	0.3742979685
610	0.3741136551
611	0.373976771
612	0.373615996
613	0.3734566053
614	0.3729961077
615	0.3728605906
616	0.372533385
617	0.3724276543
618	0.3722314199
619	0.3721171697
620	0.3718797366
621	0.3716040929
622	0.3712962786
623	0.3711029689
624	0.3708690643
625	0.3706769943
626	0.3704276403
627	0.3702961922
628	0.3702295303
629	0.3701079686
630	0.3699168523
631	0.3696081161
632	0.3692489942
633	0.3691612562
634	0.3689172745
635	0.3687164942
636	0.368386205
637	0.3681813558
638	0.3677934011
639	0.3676247915
640	0.3674496969
641	0.3672822952
642	0.3670675913
643	0.3666719437
644	0.3663517634
645	0.366179498
646	0.3660608927
647	0.365893364
648	0.3657313983
649	0.3656193733
650	0.3653855006
651	0.3651363055
652	0.3649032593
653	0.3644611359
654	0.3642026265
655	0.3639900208
656	0.3636377652
657	0.3632635752
658	0.3631110509
659	0.3628880501
660	0.3626291593
661	0.3624853134
662	0.3622191111
663	0.3620370865
664	0.3618179639
665	0.3617369334
666	0.3615226428
667	0.3612290064
668	0.3612180392
669	0.3607973417
670	0.3607164383
671	0.3605074883
672	0.3603069305
673	0.3601141612
674	0.3597352982
675	0.3594446818
676	0.359291331
677	0.3590846062
678	0.3588736534
679	0.3585407575
680	0.35837876
681	0.3582396507
682	0.3580679576
683	0.3579046567
684	0.35772988
685	0.3575599353
686	0.3573488871
687	0.357215786
688	0.3567840894
689	0.3566569964
690	0.3565418243
691	0.3562836965
692	0.3562525113
693	0.3559685389
694	0.3557139079
695	0.3554245313
696	0.355242602
697	0.3548758825
698	0.3546738942
699	0.3544607162
700	0.3541572889
701	0.353874588
702	0.3536979675
703	0.3534612656
704	0.3533157984
705	0.3531078339
706	0.3526556969
707	0.3523258845
708	0.3521916707
709	0.3519324621
710	0.3517827352
711	0.3515930812
712	0.3512539228
713	0.3508007685
714	0.3506652196
715	0.3504265467
716	0.3499463081
717	0.349824365
718	0.3496372859
719	0.349457105
720	0.3493088404
721	0.3490261078
722	0.3487570127
723	0.3487113317
724	0.3484999021
725	0.3483401934
726	0.348112011
727	0.3479381879
728	0.3477635384
729	0.3475901604
730	0.3474772453
731	0.3469914118
732	0.3468363762
733	0.346594588
734	0.3462958018
735	0.3459442139
736	0.3457375844
737	0.3454907735
738	0.3453462601
739	0.3452203433
740	0.3450452169
741	0.3448025703
742	0.3445960999
743	0.344294548
744	0.3440472921
745	0.3437127431
746	0.343601195
747	0.3435034434
748	0.3434269587
749	0.3433264414
750	0.3430994987
751	0.3428060214
752	0.3425159454
753	0.3423652013
754	0.3422356288
755	0.3419876417
756	0.3418833415
757	0.3417213758
758	0.3415054639
759	0.3412736893
760	0.3411567688
761	0.3409993807
762	0.3407349269
763	0.3405599594
764	0.3404204686
765	0.3403009415
766	0.3400410016
767	0.339911588
768	0.3397321701
769	0.3395154953
770	0.3391353925
771	0.3387938817
772	0.338622125
773	0.3382684072
774	0.3379353523
775	0.3377424876
776	0.3375697136
777	0.3373899778
778	0.3372181892
779	0.33715566
780	0.3368459702
781	0.336655426
782	0.3365371386
783	0.3364737829
784	0.336370182
785	0.3361716906
786	0.3360202154
787	0.3357235591
788	0.3355485598
789	0.335430781
790	0.3350091934
791	0.3347098668
792	0.3345877012
793	0.3342487335
794	0.3339888573
795	0.3337583542
796	0.3334692637
797	0.3333347321
798	0.3332043966
799	0.332965978
800	0.3326830546
801	0.3322738647
802	0.3321537336
803	0.3320373853
804	0.3318792979
805	0.3315036774
806	0.3313309669
807	0.33105491
808	0.3308644295
809	0.3305097898
810	0.3303211848
811	0.3300387065
812	0.3297687848
813	0.3295910835
814	0.3295348803
815	0.3292737007
816	0.3291518529
817	0.3290128072
818	0.3286828359
819	0.3282643
820	0.3280688286
821	0.3276866277
822	0.3275133451
823	0.3273200989
824	0.3271841685
825	0.3270139694
826	0.3267091433
827	0.3264368375
828	0.326065286
829	0.3259464264
830	0.3256625493
831	0.3253451665
832	0.3249919256
833	0.324917539
834	0.3247525215
835	0.3243939082
836	0.3240271886
837	0.3238818169
838	0.3236697833
839	0.3234639486
840	0.3233096441
841	0.3231735865
842	0.3228850683
843	0.3227771759
844	0.3224119822
845	0.3222088496
846	0.3219208399
847	0.3218659083
848	0.3215776443
849	0.3211737633
850	0.3210628192
851	0.3208516439
852	0.3205340068
853	0.3202470144
854	0.3197637558
855	0.3195828756
856	0.3194387436
857	0.3192069372
858	0.3189152082
859	0.3187244415
860	0.3184681575
861	0.3183402379
862	0.3181181908
863	0.3179276784
864	0.3176527023
865	0.3172751427
866	0.3169671694
867	0.3168130239
868	0.3166948001
869	0.316297404
870	0.3162738164
871	0.3161728541
872	0.3159375827
873	0.3155305227
874	0.3152552605
875	0.3150347392
876	0.314751784
877	0.3144077937
878	0.3142136892
879	0.3140171369
880	0.3138198535
881	0.3134646416
882	0.313187472
883	0.3128160477
884	0.3127234777
885	0.3124109268
886	0.3121188482
887	0.311941878
888	0.3116581599
889	0.3115048726
890	0.3113605499
891	0.3112436295
892	0.311009566
893	0.3107968012
894	0.3106136958
895	0.3102648735
896	0.3099362691
897	0.3096992175
898	0.3094483376
899	0.3092391968
900	0.3089757919
901	0.3089226087
902	0.3088931402
903	0.3085916519
904	0.308523496
905	0.3084339778
906	0.3082421621
907	0.3080892245
908	0.3077874184
909	0.307578214
910	0.3073506673
911	0.3073016802
912	0.3070302963
913	0.3067792575
914	0.306505394
915	0.3063525518
916	0.3062047958
917	0.3059345881
918	0.3059181213
919	0.3057888985
920	0.305597655
921	0.3052516937
922	0.3049974759
923	0.3047490438
924	0.3046178818
925	0.3045829137
926	0.3042730649
927	0.3038972855
928	0.303671964
929	0.3035307884
930	0.30325737
931	0.3029688517
932	0.3028512001
933	0.3026089986
934	0.302330176
935	0.3021082242
936	0.3019521713
937	0.3017292658
938	0.3015071233
939	0.3012156169
940	0.3010345459
941	0.3009350777
942	0.3007078171
943	0.3005408923
944	0.3003436089
945	0.3001298587
946	0.2999308586
947	0.2997783025
948	0.2996491114
949	0.2996197383
950	0.2993390083
951	0.299153773
952	0.2989383062
953	0.2986376762
954	0.2982885361
955	0.2979608536
956	0.2976957957
957	0.297677962
958	0.2974569003
959	0.297195816
960	0.2969969749
961	0.2966065725
962	0.2965617816
963	0.2963314374
964	0.2961954117
965	0.2960009257
966	0.2959904353
967	0.2955337842
968	0.2953796705
969	0.2953032811
970	0.2950228691
971	0.2950136185
972	0.2947710673
973	0.294632117
974	0.294277064
975	0.2940364202
976	0.2940238953
977	0.293676122
978	0.2936350822
979	0.2934824626
980	0.2933545431
981	0.2930444082
982	0.2929445267
983	0.2926647186
984	0.2925102552
985	0.2922091166
986	0.2921883583
987	0.291947937
988	0.2916190783
989	0.2913764318
990	0.2911327362
991	0.2908333143
992	0.2905671438
993	0.2905227661
994	0.2904144923
995	0.2902628581
996	0.2900602659
997	0.2898897807
998	0.2896554947
999	0.289442571
